RDB$RELATION_NAME	FIELD_NAME	FIELD_TYPE	FIELD_CHARSET	FIELD_COLLATION	FIELD_DEFAULT	FIELD_CHECK	FIELD_DESCRIPTION	
PYMINGR01_CAB_FACTURAS         	PYMINGR01_IMPUESTOS            	DOUBLE	null	null	DEFAULT 0.00	null	null	
MSGPOLI23_DET_BITACORA         	MSGPOLI23_IMPORTE_USUARIO      	DOUBLE	null	null	DEFAULT 0.00	null	null	
GRID_MSGPOLI23                 	MSGPOLI23_IMPORTE_PERDIDA      	DOUBLE	null	null	DEFAULT 0.00	null	null	
GRID_SOCSYST23                 	SOCSYST04_FUNCION              	VARCHAR(100)	ASCII                          	ASCII                          	null	null	null	
VR_SOCWFLO01_SOCWFL03          	SOCUSUA01_TIPO                 	CHAR(1) 	ASCII                          	null	null	null	null	
VR_SOCUSUA03_SOCUSUA05         	SOCUSUA05_ACCESO_01            	VARCHAR(200)	ASCII                          	ASCII                          	DEFAULT ' '	null	null	
GRID_MSGPOLI02_CONCONCILIAR    	MSGPOLI02_ANO                  	SMALLINT	null	null	null	null	null	
PYMVENT21_DET_TICKETS          	PYMVENT21_ADEUDO               	DOUBLE	null	null	null	null	null	
GRID_MSGPOLI02_SINCONCILIAR    	NOTAS                          	VARCHAR(8000)	ASCII                          	null	null	null	null	
GRID_MSGPOLI23_ALL             	MSGPOLI23_IMPORTE_AFAVOR       	DOUBLE	null	null	DEFAULT 0.00	null	null	
GRID_PYMVENT21_PV_DEVOL        	PYMVENT21_ADEUDO               	DOUBLE	null	null	null	null	null	
GRID_ON2REGI10                 	MODALIDAD                      	VARCHAR(50)	ASCII                          	null	null	null	null	
GRID_PYMINVE26                 	COLOR                          	VARCHAR(50)	ASCII                          	null	null	null	null	
GRID_SCEXMLS11_ERRORES         	SCEXMLS11_TIPOCOMPROBANTE      	VARCHAR(50)	ASCII                          	ASCII                          	null	null	null	
GRID_PYMINGR06                 	PYMINGR06_PORCENTAJE           	DOUBLE	null	null	DEFAULT 0.00	null	null	
VR_SOCUSUA02_SOCUSUA01_ALL     	SOCSYST10_FILTRO_DES           	VARCHAR(50)	ASCII                          	ASCII                          	null	null	null	
REP_PYMLOGI01_REFERENCIAS      	DESTINO_CODEXT                 	VARCHAR(400)	ASCII                          	ASCII                          	null	null	null	
REP_PYMINVE25_SOLICITUD        	CANTIDAD                       	DOUBLE	null	null	DEFAULT 0	null	null	
VR_SOCWFLO04_SOCUSUA03         	SOCUSUA05_FRM_01               	SMALLINT	null	null	DEFAULT 0	CHECK (VALUE=0 OR VALUE=1)	null	
VW_PYMVENT01_PYMVENT02         	RELA_SRHMAIN10_SUPERVISOR      	BIGINT	null	null	null	null	null	
VR_SOCUSUA06_SOCUSUA03         	SOCUSUA30_FAPL                 	TIMESTAMP	null	null	DEFAULT CURRENT_TIMESTAMP	null	null	
REP_ON2CFDS10                  	SOCSYST20_NRO_APROBA           	VARCHAR(17)	ASCII                          	null	null	null	null	
SOCSYST01_CAB_CLIENTES         	SOCSYST01_FAPL                 	TIMESTAMP	null	null	DEFAULT CURRENT_TIMESTAMP	null	null	
ZTMPINVE10_PRODUCTOS           	ZTMPINVE10_PLISTA4             	DOUBLE	null	null	null	null	null	
ON2REGI10_CAB_CLIENTES         	ON2REGI10_MENSAJE              	VARCHAR(2000)	ASCII                          	ASCII                          	null	null	null	
PYMINVE10_CAB_PRODUCTOS        	PYMINVE10_CANDESC              	DOUBLE	null	null	DEFAULT 1	null	null	
PYMVENT01_CAB_CAJAS            	PYMVENT01_COTIZATICKET         	SMALLINT	null	null	DEFAULT 0	CHECK (VALUE=0 OR VALUE=1)	null	
GRID_PYMVENT21_PV              	PYMVENT21_DESCUENTA_STOCK      	SMALLINT	null	null	DEFAULT 1	CHECK (VALUE=0 OR VALUE=1)	null	
PYMINGR01_CAB_FACTURAS         	PYMINGR01_TOTAL                	DOUBLE	null	null	DEFAULT 0.00	null	null	
MSGPOLI23_DET_BITACORA         	MSGPOLI23_IMPORTE_PERDIDA      	DOUBLE	null	null	DEFAULT 0.00	null	null	
GRID_MSGPOLI23                 	MSGPOLI23_NOTAS                	BLOB SUB_TYPE 1	ASCII                          	null	null	null	null	
VR_SOCWFLO01_SOCWFL03          	SOCUSUA01_FAPL                 	TIMESTAMP	null	null	DEFAULT CURRENT_TIMESTAMP	null	null	
VR_SOCUSUA03_SOCUSUA05         	SOCUSUA05_ACCESO_02            	VARCHAR(200)	ASCII                          	ASCII                          	DEFAULT ' '	null	null	
GRID_MSGPOLI02_CONCONCILIAR    	MSGPOLI02_MES                  	SMALLINT	null	null	null	null	null	
PYMVENT21_DET_TICKETS          	PYMVENT21_PUNTOS               	DOUBLE	null	null	DEFAULT 0.00	null	null	
GRID_MSGPOLI23_ALL             	MSGPOLI23_IMPORTE_AFAVORO      	DOUBLE	null	null	DEFAULT 0.00	null	null	
GRID_MSGPOLI02_SINCONCILIAR    	ID_MSGPOLI05                   	BIGINT	null	null	null	null	null	
GRID_PYMVENT21_PV_DEVOL        	PYMVENT21_DESCUENTA_STOCK      	SMALLINT	null	null	DEFAULT 1	CHECK (VALUE=0 OR VALUE=1)	null	
GRID_PYMINGR06                 	PYMINGR06_IMPUESTOS            	DOUBLE	null	null	DEFAULT 0.00	null	null	
GRID_SCEXMLS11_ERRORES         	SCEXMLS11_DIFERENCIA           	DOUBLE	null	null	null	null	null	
REP_PYMLOGI01_REFERENCIAS      	DESTINO                        	VARCHAR(50)	ASCII                          	ASCII                          	null	null	null	
VR_SOCUSUA02_SOCUSUA01_ALL     	SOCSYST10_CODIGO               	VARCHAR(50)	ASCII                          	ASCII                          	null	null	null	
REP_PYMINVE25_SOLICITUD        	IMPCOSTOUNI                    	DOUBLE	null	null	null	null	null	
VR_SOCWFLO04_SOCUSUA03         	SOCUSUA05_FRM_02               	SMALLINT	null	null	DEFAULT 0	CHECK (VALUE=0 OR VALUE=1)	null	
VR_SOCUSUA06_SOCUSUA03         	RELA_SOCUSUA02                 	BIGINT	null	null	null	null	null	
VW_PYMVENT01_PYMVENT02         	RELA_SRHMAIN10_VISOR           	BIGINT	null	null	null	null	null	
REP_ON2CFDS10                  	LOGO                           	VARCHAR(100)	ASCII                          	null	null	null	null	
ZTMPINVE10_PRODUCTOS           	ZTMPINVE10_PLISTA5             	DOUBLE	null	null	null	null	null	
PYMINVE10_CAB_PRODUCTOS        	PYMINVE10_ESPARTE              	SMALLINT	null	null	DEFAULT 0	CHECK (VALUE=0 OR VALUE=1)	null	
ON2REGI10_CAB_CLIENTES         	ON2REGI10_FAPL                 	TIMESTAMP	null	null	DEFAULT CURRENT_TIMESTAMP	null	null	
PYMVENT01_CAB_CAJAS            	PYMVENT01_REGALOSSINDESC       	SMALLINT	null	null	DEFAULT 0	CHECK (VALUE=0 OR VALUE=1)	null	
GRID_PYMVENT21_PV              	PYMVENT21_PCOSTO               	DOUBLE	null	null	DEFAULT 0.00	null	null	
PYMINGR01_CAB_FACTURAS         	PYMINGR01_EXTEMPORANEO         	DOUBLE	null	null	DEFAULT 0.00	null	null	
