RDB$INDEX_NAME	RDB$FIELD_NAME	RDB$RELATION_NAME	
PKY_PYMVENT10                  	ID_PYMVENT10                   	PYMVENT10_CAB_APERTURACIERRE   	
PKY_PYMVENT05                  	ID_PYMVENT05                   	PYMVENT05_DET_RENDICION        	
PKY_SRHNOMI03                  	ID_SRHNOMI03                   	SRHNOMI03_DET_RETRIBUCIONES    	
PKY_SOCSYST40                  	ID_SOCSYST40                   	SOCSYST40_CAB_CORREOS          	
PKY_PYMVENT02                  	ID_PYMVENT02                   	PYMVENT02_DET_CAJEROS          	
PKY_PYMVENT51                  	ID_PYMVENT51                   	PYMVENT51_DET_RENDICIONES      	
PKY_PYMVENT04                  	ID_PYMVENT04                   	PYMVENT04_DET_VENDEDORES       	
PKY_PYMVENT50                  	ID_PYMVENT50                   	PYMVENT50_CAB_DEPOSITOS        	
PKY_SOCUTIL01                  	ID_SOCUTIL01                   	SOCUTIL01_MOV_LOGS             	
PKY_SRHNOMI02                  	ID_SRHNOMI02                   	SRHNOMI02_DET_EMPLEADOS        	
PK_PYMREFE01_CAB_REFERENCIAS   	ID_PYMREFE01                   	PYMREFE01_CAB_REFERENCIAS      	
PKY_PYMINVE40_PYMINVE40        	ID_PYMINVE40                   	PYMINVE40_ARB_LOCACIONES       	
PKY_MSGPOLI27                  	ID_MSGPOLI27                   	MSGPOLI27_DET_INTERFACES       	
PKY_PYMVENT01                  	ID_PYMVENT01                   	PYMVENT01_CAB_CAJAS            	
PKY_SOCUSUA03                  	ID_SOCUSUA03                   	SOCUSUA03_CAB_PERFILES         	
PKY_SOCSYST18                  	ID_SOCSYST18                   	SOCSYST18_TBL_CAMPOS           	
PKY_ON2REGI30                  	ID_ON2REGI30                   	ON2REGI30_DET_COMPRA           	
PKY_ON2CFDS18                  	ID_ON2CFDS18                   	ON2CFDS18_DEP_FACTELECT        	
PKY_MSGPOLI13                  	ID_MSGPOLI13                   	MSGPOLI13_DET_REFERENCIAS      	
PKY_ON2CFDS15                  	ID_ON2CFDS15                   	ON2CFDS15_MOV_SAT              	
PKY_ON2CFDS12                  	ID_ON2CFDS12                   	ON2CFDS12_DET_IMPUESTOS        	
PKY_ON2CFDS11                  	ID_ON2CFDS11                   	ON2CFDS11_DET_FACTURAS         	
PKY_PYMINVE62_PYMINVE62        	ID_PYMINVE62                   	PYMINVE62_TBL_COMPARACION      	
PKY_PYMVENT30                  	ID_PYMVENT30                   	PYMVENT30_MOV_DEVOLUCIONES     	
PKY_PYMINVE30                  	ID_PYMINVE30                   	PYMINVE30_MOV_STOCK            	
PKY_PYMINVE61                  	ID_PYMINVE61                   	PYMINVE61_DET_RANGOS           	
PKY_ON2CFDS10                  	ID_ON2CFDS10                   	ON2CFDS10_CAB_FACTURAS         	
PKY_MSGPOLI29                  	ID_MSGPOLI29                   	MSGPOLI29_DET_ACTIVOSPORCEN    	
PKY_PYMINVE60_PYMINVE60        	ID_PYMINVE60                   	PYMINVE60_CAB_PRECIOSMODIFICA  	
PKY_MSGPOLI33                  	ID_MSGPOLI33                   	MSGPOLI33_MOV_DEPRECIACION     	
PKY_PYMINVE36_PYMINVE36        	ID_PYMINVE36                   	PYMINVE36_MOV_CANTIDADES       	
PKY_PYMVENT24_PYMVENT24        	ID_PYMVENT24                   	PYMVENT24_CAB_CLIENTES         	
PKY_PYMINGR17                  	ID_PYMINGR17                   	PYMINGR17_MOV_TICKETS          	
PKY_PYMINVE20                  	ID_PYMINVE20                   	PYMINVE20_MOV_UPLOADS          	
PKY_ON2REGI20                  	ID_ON2REGI20                   	ON2REGI20_DEP_ACTIVADO         	
PKY_MSGPOLI26                  	ID_MSGPOLI26                   	MSGPOLI26_CAB_INTERFACES       	
PKY_PYMVENT31                  	ID_PYMVENT31                   	PYMVENT31_DET_RETIROS          	
PKY_PYMINVE12                  	ID_PYMINVE12                   	PYMINVE12_DET_PROVEEDORES      	
PK_MSGPOLI34_CAB_PAGO_IMPUESTOS	ID_MSGPOLI34                   	MSGPOLI34_CAB_PAGO_IMPUESTOS   	
PKY_ON2REGI10                  	ID_ON2REGI10                   	ON2REGI10_CAB_CLIENTES         	
